Total time in adjust_load_path|1.279e-05|seconds
Total time in load_default_site_yaml|0.000660867|seconds
Total time in load_user_site_yaml|0.000914362|seconds
Total time in set_base_url|2.8703e-05|seconds
Total time in load_yamls|0.006879932|seconds
Total time in load_pipeline|0.084127352|seconds
Total time in load_pages|0.184403284|seconds
Total time in sections|5.449743898|seconds
Total time in vimeo|16.091902075|seconds
Total time in kramdown_quickstart repo _eap-quickstarts|10.239077364|seconds
Total time in kramdown_quickstart repo _brms-quickstarts|1.521400451|seconds
Total time in kramdown_quickstart repo _jdg-quickstarts|1.42460785|seconds
Total time in kramdown_quickstart repo _jon-quickstarts|0.718010693|seconds
Total time in kramdown_quickstart repo _picketlink-quickstarts|4.579232533|seconds
Total time in kramdown_quickstart repo _portal-quickstarts|1.88246745|seconds
Total time in kramdown_quickstart repo _sandbox-quickstarts|3.374779716|seconds
Total time in kramdown_quickstart repo _wfk-quickstarts|6.023332431|seconds
Total time in asciidoc_example repo _ticket-monster|120.651564517|seconds
Total time in execute_pipeline|189.082537767|seconds
Total time in configure_compass|0.0001114|seconds
Total time in set_urls|0.018092031|seconds
Total time in build_page_index|0.217306494|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/.htaccess|0.004462119|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/add-your-event/index.html|39.9355963|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/books/index.html|0.642054966|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/buzz/index.html|0.117820651|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/developer-materials/index.html|3.320309286|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/docker/index.html|3.359032346|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/downloads/index.html|0.189043226|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/events/index.html|3.294653584|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/faq/index.html|0.641405544|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/favicon.ico|0.000249095|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/forums/index.html|0.137120247|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/get-involved/index.html|1.069191974|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/get-started/index.html|0.621604267|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/google4775292ed26aeefd.html|0.097295668|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/README/index.html|0.100717727|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/books/book_buildingmodularcloudappswithosgi.jpg|0.000224248|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/books/book_developingjavaEE6applicationsonjbossas7.jpg|0.000148211|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/books/book_noimageavailable.jpg|0.000123973|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/buzzdefault_orange.png|0.00020413|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/devnation1_desktop_1175x400.png|0.000320409|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/devnation1_mobile_480x500.png|0.000191087|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/a-mq.png|0.000135471|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/bpm-suite.png|0.000142655|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/brms.png|0.000132456|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/data-grid.png|0.00012546|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/data-virtualization.png|0.000133699|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/developer-studio.png|0.000120456|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/enterprise-app-platform.png|0.000135448|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/framework-kit.png|0.000113794|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/fsw.png|0.000132504|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/fuse.png|0.000119248|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/operationsnetwork.png|0.000127525|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/portal.png|0.000122704|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/soa-platform.png|0.000142377|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos/web-server.png|0.000121206|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/branding/product-logos-sd768695660.png|0.000178791|seconds
Total time generating page /home/jporter/projects/jboss/www.jboss.org/_site/images/design/get-involved/bg.png|0.000458178|seconds
